Date,Open,High,Low,Close,Volume
4-Sep-13,-,-,-,0.60,-
3-Sep-13,-,-,-,0.60,-
2-Sep-13,-,-,-,0.60,-
1-Sep-13,-,-,-,0.58,-
31-Aug-13,-,-,-,0.58,-
30-Aug-13,-,-,-,0.58,-
29-Aug-13,-,-,-,0.58,-
28-Aug-13,-,-,-,0.58,-
27-Aug-13,-,-,-,0.58,-
26-Aug-13,-,-,-,0.58,-
25-Aug-13,-,-,-,0.59,-
24-Aug-13,-,-,-,0.59,-
23-Aug-13,-,-,-,0.58,-
22-Aug-13,-,-,-,0.58,-
21-Aug-13,-,-,-,0.59,-
20-Aug-13,-,-,-,0.59,-
19-Aug-13,-,-,-,0.59,-
18-Aug-13,-,-,-,0.59,-
17-Aug-13,-,-,-,0.59,-
16-Aug-13,-,-,-,0.59,-
15-Aug-13,-,-,-,0.59,-
14-Aug-13,-,-,-,0.59,-
13-Aug-13,-,-,-,0.60,-
12-Aug-13,-,-,-,0.60,-
11-Aug-13,-,-,-,0.60,-
10-Aug-13,-,-,-,0.60,-
9-Aug-13,-,-,-,0.59,-
8-Aug-13,-,-,-,0.60,-
7-Aug-13,-,-,-,0.59,-
6-Aug-13,-,-,-,0.59,-
5-Aug-13,-,-,-,0.59,-
4-Aug-13,-,-,-,0.59,-
3-Aug-13,-,-,-,0.59,-
2-Aug-13,-,-,-,0.59,-
1-Aug-13,-,-,-,0.59,-
31-Jul-13,-,-,-,0.59,-
30-Jul-13,-,-,-,0.59,-
29-Jul-13,-,-,-,0.59,-
28-Jul-13,-,-,-,0.59,-
27-Jul-13,-,-,-,0.58,-
26-Jul-13,-,-,-,0.58,-
25-Jul-13,-,-,-,0.58,-
24-Jul-13,-,-,-,0.58,-
23-Jul-13,-,-,-,0.58,-
22-Jul-13,-,-,-,0.58,-
21-Jul-13,-,-,-,0.58,-
20-Jul-13,-,-,-,0.58,-
19-Jul-13,-,-,-,0.58,-
18-Jul-13,-,-,-,0.58,-
17-Jul-13,-,-,-,0.58,-
16-Jul-13,-,-,-,0.58,-
15-Jul-13,-,-,-,0.59,-
14-Jul-13,-,-,-,0.59,-
13-Jul-13,-,-,-,0.59,-
12-Jul-13,-,-,-,0.59,-
11-Jul-13,-,-,-,0.60,-
10-Jul-13,-,-,-,0.60,-
9-Jul-13,-,-,-,0.60,-
8-Jul-13,-,-,-,0.60,-
7-Jul-13,-,-,-,0.60,-
6-Jul-13,-,-,-,0.60,-
5-Jul-13,-,-,-,0.60,-
4-Jul-13,-,-,-,0.59,-
3-Jul-13,-,-,-,0.59,-
2-Jul-13,-,-,-,0.58,-
1-Jul-13,-,-,-,0.58,-
30-Jun-13,-,-,-,0.58,-
29-Jun-13,-,-,-,0.58,-
28-Jun-13,-,-,-,0.57,-
27-Jun-13,-,-,-,0.57,-
26-Jun-13,-,-,-,0.57,-
25-Jun-13,-,-,-,0.57,-
24-Jun-13,-,-,-,0.57,-
23-Jun-13,-,-,-,0.57,-
22-Jun-13,-,-,-,0.57,-
21-Jun-13,-,-,-,0.56,-
20-Jun-13,-,-,-,0.56,-
19-Jun-13,-,-,-,0.57,-
18-Jun-13,-,-,-,0.57,-
17-Jun-13,-,-,-,0.57,-
16-Jun-13,-,-,-,0.57,-
15-Jun-13,-,-,-,0.57,-
14-Jun-13,-,-,-,0.57,-
13-Jun-13,-,-,-,0.57,-
12-Jun-13,-,-,-,0.57,-
11-Jun-13,-,-,-,0.58,-
10-Jun-13,-,-,-,0.58,-
9-Jun-13,-,-,-,0.57,-
8-Jun-13,-,-,-,0.58,-
7-Jun-13,-,-,-,0.57,-
6-Jun-13,-,-,-,0.57,-
5-Jun-13,-,-,-,0.57,-
4-Jun-13,-,-,-,0.57,-
3-Jun-13,-,-,-,0.57,-
2-Jun-13,-,-,-,0.58,-
1-Jun-13,-,-,-,0.58,-
31-May-13,-,-,-,0.59,-
30-May-13,-,-,-,0.59,-
29-May-13,-,-,-,0.59,-
28-May-13,-,-,-,0.59,-
27-May-13,-,-,-,0.58,-
26-May-13,-,-,-,0.57,-
25-May-13,-,-,-,0.56,-
24-May-13,-,-,-,0.55,-
23-May-13,-,-,-,0.54,-
22-May-13,-,-,-,0.54,-
21-May-13,-,-,-,0.53,-
20-May-13,-,-,-,0.54,-
19-May-13,-,-,-,0.54,-
18-May-13,-,-,-,0.54,-
17-May-13,-,-,-,0.55,-
16-May-13,-,-,-,0.55,-
15-May-13,-,-,-,0.55,-
14-May-13,-,-,-,0.55,-
